identifier,num_data_bytes,data,remote_frame
0x17,0x8,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFC,
0x17,0x8,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFC,
0x17,,,
0x17,0x8,0x17 0x3A 0x42 0x7F 0xF8 0x24 0x42 0x00,
0x17,0x8,0x17 0x3A 0x42 0x7F 0xF7 0xFF 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3A 0x44 0x81 0xC8 0x47 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3A 0x4D 0x84 0x88 0x49 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3A 0x5C 0x87 0x38 0x3F 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3A 0x72 0x89 0xE8 0x42 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3A 0x8E 0x8C 0xB8 0x41 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3A 0xAF 0x8D 0xE8 0x3D 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3A 0xD6 0x90 0x18 0x3A 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3B 0x01 0x92 0x98 0x38 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3B 0x31 0x94 0xB8 0x33 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3B 0x66 0x95 0xF8 0x35 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3B 0x9F 0x98 0x48 0x34 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3B 0xDC 0x98 0x18 0x30 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3C 0x1D 0x9A 0x38 0x33 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3C 0x61 0x9C 0x38 0x30 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3C 0xA9 0x9D 0x08 0x2F 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3C 0xF3 0x9E 0xB8 0x2C 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3D 0x41 0xA0 0xC8 0x2C 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3D 0x92 0x9F 0x78 0x2B 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3D 0xE5 0xA2 0xA8 0x29 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3E 0x3A 0xA1 0x58 0x2B 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3E 0x92 0xA2 0xF8 0x2A 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3E 0xEC 0xA4 0x98 0x2E 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3F 0x47 0xA4 0xC8 0x2D 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x3F 0xA5 0xA6 0x48 0x28 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x40 0x05 0xA7 0xB8 0x26 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x40 0x66 0xA8 0xE8 0x2C 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x40 0xC8 0xA6 0xE8 0x26 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x41 0x2C 0xA7 0xD8 0x28 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x41 0x91 0xA9 0x78 0x1F 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x41 0xF7 0xAA 0xE8 0x2A 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x42 0x5D 0xAA 0x08 0x20 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x42 0xC5 0xAC 0x18 0x2D 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x43 0x2D 0xA8 0xC8 0x27 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x43 0x96 0xA9 0xD8 0x28 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x43 0xFF 0xA9 0x78 0x1F 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x44 0x69 0xAA 0xB8 0x29 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x44 0xD4 0xAB 0xC8 0x1C 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x45 0x3E 0xAC 0xF8 0x26 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x45 0xA9 0xAB 0xD8 0x1D 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x46 0x15 0xAC 0xF8 0x2A 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
