name,"RemoteFrame","identifier","num_data_bytes","data","crc","ack","remote_frame"
"CAN",,,,,,,
"CAN",,,,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000003,,,,
"CAN",,,,0x99,,,
"CAN",,,,0x2D,,,
"CAN",,,,0x80,,,
"CAN",,,,,0x0000000000004357,,
"CAN",,,,,,false,
"CAN",,,,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000003,,,,
"CAN",,,,0x99,,,
"CAN",,,,0x3D,,,
"CAN",,,,0x84,,,
"CAN",,,,,0x0000000000004E77,,
"CAN",,,,,,false,
"CAN",,,,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000003,,,,
"CAN",,,,0xC6,,,
"CAN",,,,0xB5,,,
"CAN",,,,0xC8,,,
"CAN",,,,,0x000000000000133F,,
"CAN",,,,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000003,,,,
"CAN",,,,0x64,,,
"CAN",,,,0x59,,,
"CAN",,,,0x09,,,
"CAN",,,,,0x0000000000003CBF,,
"CAN",,,,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000003,,,,
"CAN",,,,0x52,,,
"CAN",,,,0x5A,,,
"CAN",,,,0x02,,,
"CAN",,,,,0x0000000000004F5F,,
"CAN",,,,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000002,,,,
"CAN",,,,0xC2,,,
"CAN",,,,0xD5,,,
"CAN",,,,,0x0000000000006405,,
"CAN",,,,,,false,
"CAN",,,,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000002,,,,
"CAN",,,,0x72,,,
"CAN",,,,0xDA,,,
"CAN",,,,,0x0000000000006403,,
"CAN",,,,,,false,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000002,,,,
"CAN",,,,0xD6,,,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000002,,,,
"CAN",,,,0x2D,,,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000003,,,,
"CAN",,,,0x9D,,,
"CAN",,,,0xBB,,,
"CAN",,,,,,,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000003,,,,
"CAN",,,,,,,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000003,,,,
"CAN",,,,0x34,,,
"CAN",,,,0x9B,,,
"CAN",,,,,,,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000002,,,,
"CAN",,,,0xA1,,,
"CAN",,,,0x5D,,,
"CAN",,,,,0x00000000000004A9,,
"CAN",,,,,,true,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000002,,,,
"CAN",,,,0x71,,,
"CAN",,,,0x18,,,
"CAN",,,,,0x0000000000005205,,
"CAN",,,,,,false,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000002,,,,
"CAN",,,,0xD1,,,
"CAN",,,,0xD8,,,
"CAN",,,,,0x00000000000004BF,,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000002,,,,
"CAN",,,,0x75,,,
"CAN",,,,0xD8,,,
"CAN",,,,,,,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000001,,,,
"CAN",,,,0x9C,,,
"CAN",,,,,,,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000001,,,,
"CAN",,,,,,,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000001,,,,
"CAN",,,,0x21,,,
"CAN",,,,,0x00000000000079C8,,
"CAN",,,,,,true,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000000,,,,
"CAN",,,,,0x00000000000050CD,,
"CAN",,,,,,true,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x000000000000000B,,,,
"CAN",,0x0000000000000270,,,,,true
"CAN",,,,,,,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
"CAN",,0x0000000000000269,,,,,
"CAN",,,0x0000000000000000,,,,
"CAN",,,,,0x000000000000784C,,
"CAN",,,,,,false,
"CAN",true,0x0000000009AD2FB9,,,,,
"CAN",,,0x0000000000000007,,,,
