identifier,num_data_bytes,data,remote_frame
0x269,0x3,0x99 0x2D 0x80,
0x269,0x3,0x99 0x3D 0x84,
0x269,0x3,0xC6 0xB5 0xC8,
0x269,0x3,0x64 0x59 0x09,
0x269,0x3,0x52 0x5A 0x02,
0x269,0x2,0xC2 0xD5,
0x269,0x2,0x72 0xDA,
0x9AD2FB9,0x7,,
0x269,0x2,0xD6,
0x9AD2FB9,0x7,,
0x269,0x2,0x2D,
0x9AD2FB9,0x7,,
0x269,0x3,0x9D 0xBB,
0x9AD2FB9,0x7,,
0x269,0x3,,
0x9AD2FB9,0x7,,
0x269,0x3,0x34 0x9B,
0x9AD2FB9,0x7,,
0x269,0x2,0xA1 0x5D,
0x9AD2FB9,0x7,,
0x269,0x2,0x71 0x18,
0x9AD2FB9,0x7,,
0x269,0x2,0xD1 0xD8,
0x9AD2FB9,0x7,,
0x269,0x2,0x75 0xD8,
0x9AD2FB9,0x7,,
0x269,0x1,0x9C,
0x9AD2FB9,0x7,,
0x269,0x1,,
0x9AD2FB9,0x7,,
0x269,0x1,0x21,
0x9AD2FB9,0x7,,
0x269,0x0,,
0x9AD2FB9,0x7,,
0x269,0xB,,
0x270,,,True
0x9AD2FB9,0x7,,
0x269,0x0,,
0x9AD2FB9,0x7,,
0x269,,,
0x9AD2FB9,0x7,,
0x269,0x1,,
0x9AD2FB9,0x7,,
0x269,0x1,0xC0,
0x9AD2FB9,0x7,,
0x269,0x1,0x41,
0x9AD2FB9,0x7,,
0x269,0x0,,
0x9AD2FB9,0x7,,
0x269,0x2,0xD5 0x5D,
0x9AD2FB9,0x7,,
0x269,0x0,,
0x9AD2FB9,0x7,,
0x269,,,
0x9AD2FB9,0x7,,
0x269,0x3,0x95 0xCC 0x84,
0x9AD2FB9,0x7,,
0x269,0x3,,
0x2F1,,,True
0x9AD2FB9,0x7,,
0x269,0x3,,
0x9AD2FB9,0x7,,
0x269,0x2,0xA1,
0x9AD2FB9,0x7,,
0x269,0xA,0xFB 0x39 0x49 0x3E 0xBF,
0x9AD2FB9,0x7,,
0x269,0x2,0xE1 0xDA,
0x9AD2FB9,0x7,,
0x269,0x2,,
0x9AD2FB9,0x7,,
0x269,0x3,0xA1 0xDA 0x02,
0x9AD2FB9,0x7,,
0x269,0x3,0x1D 0x5A 0xCC,
0x9AD2FB9,0x7,,
0x269,0x3,,
0x9AD2FB9,0x7,,
0x269,0x2,0xC1,
0x9AD2FB9,0x7,,
0x269,0x2,0x10 0x99,
0x9AD2FB9,0x7,,
