identifier,num_data_bytes,data,remote_frame
0x269,0xB,,True
0x269,0x9,0x76 0xCD 0x80,
0x269,0xB,,True
0x269,0x9,0x76 0xCD 0x24 0x04 0x5F,
0x269,0xB,,True
0x269,0x9,0x56 0x57 0x09 0x3B 0xDF,
0x269,0xB,,True
0x269,0x9,0x25 0x97 0x09 0x7A,
0x269,0xB,,True
0x269,0x9,0x35 0xBF,
0x101,0xB,,
0x269,0xB,,True
0x269,0x9,0xD5 0xD6,
0x269,0x9,0xD5 0x3F,
0x96,0xE,,
0x269,0xB,0x67 0x2D 0xA4 0x9F 0xDF,
0x261,0xB,,True
0x269,0x8,0xC7 0x58,
0x269,0xB,,True
0x269,0x8,,
0x269,0xB,,True
0x269,0x8,0x03 0x34 0x05 0x95,
0x269,0xB,,True
0x269,0x8,0xCD 0x5A 0x44 0x9B 0xDF,
0x269,0xB,,True
0x269,0x8,0x4C 0x59 0x48 0x2F,
0x269,0xB,,True
0x269,0x9,0xB1 0x9A 0x02 0x1A,
0x269,0xB,,True
0x269,0x9,0x13 0x3A,
0x269,0xB,,True
0x269,0xB,0xA5 0xDC 0xA4 0xBA 0xAF,
0x269,0xB,,True
0x269,0x8,0xDD 0xCE 0xA4 0x9E 0x5F,
0x269,0xB,,True
0x269,0x8,0x45 0x7D 0x48 0x39,
0x269,0xB,,True
0x269,0x8,0xD0 0x32 0x12 0xBF,
0x269,0xB,,True
0x269,0x8,0x74 0x2F 0x01 0x3F 0xBF,
0x269,0xB,,True
0x269,0xB,0xDD 0x39 0x48 0x2F,
0x269,0xB,,True
0x269,0xB,0x51 0x1F,
0x269,0xB,,True
0x269,0xB,0xE0,
0x269,0xB,,True
0x269,0xB,0x2D 0x3C 0xA4 0xAF,
0x269,0xB,,True
0x269,0xA,0xB2 0x5B 0xE9 0x73 0xDF,
0x269,0xB,,True
0x269,0xA,0xF8 0xB9 0x09 0x77 0x5F,
0x269,0xB,,True
0x269,0xA,0x71,
0x269,0xB,,True
0x269,0xB,0xCD 0xBD 0xE4 0x9D 0x3F,
0x269,0xB,,True
0x269,0xB,0x11 0xDA 0x48 0x0D 0xBF,
0x269,0xB,,True
0x269,0xB,0xB1 0xDB,
0x269,0xB,,True
0x269,0xB,0x57 0xFD 0x99,
0x269,0xB,,True
0x269,0xA,0xF3 0x5A 0xCC 0xBF,
0x269,0xB,,True
0x269,0xA,0x42 0x59 0x48 0x1B,
0x269,0xB,,True
0x269,0xA,0xF2 0x9A,
0x269,0xB,,True
0x269,0xA,0x5D 0xBE 0x12 0x63,
0x269,0xB,,True
0x269,0x9,0xE3 0x9A,
0x269,0xB,,True
0x269,0x9,0x62 0x1B 0xC8 0x2F 0x5F,
0x269,0xB,,True
0x269,0x9,0xF5 0xB5,
0x269,0xB,,True
0x269,0x9,0x52 0x19,
0x269,0xB,,True
0x269,0x8,0xEE,
0x481,0xD,,True
0x269,0xB,,True
0x269,,,
0x269,0xB,,True
0x269,0x8,,
0x269,0xB,,True
0x269,,,
0x269,0xB,,True
0x269,0x9,0xE0 0x1B 0x01 0x53,
0x269,0xB,,True
0x269,0x9,0xFC 0xBE 0x04 0xA0,
0x269,0xB,,True
0x269,0x9,0x87 0x52 0xE4 0xBE 0xDF,
0x269,0xB,,True
0x269,0x9,0x0F,
0x269,0xB,,True
0x269,0x9,0x2E 0x40 0x02 0x69,
0x269,0xB,,True
0x269,0x9,0xE6,
0x269,0xB,,True
0x269,0x9,,
0x80,0x2,0x4F,
0x269,0xB,,True
0x269,0x9,0xB7 0x60 0x09 0x68 0x5F,
0x269,0xB,,True
0x269,0x9,0x46 0xA0 0x09 0x0C 0xDF,
0x269,0xB,,True
0x269,0x9,0x5F 0x82 0x12 0x66,
0x269,0xB,,True
0x269,0x9,0x39 0xB2 0x42 0x4D 0x77,
0x269,0xB,,True
0x269,0xF,,
0x51C,0xC,,True
0x269,0xB,,True
0x269,0x6,0x9C 0xE1 0x01 0x59 0xDF,
0x269,0x6,0xB2 0x72 0x64 0x1B 0x5F,
0x261,0xB,,True
0x269,0x6,0x6A 0x72 0xA6 0x5A,
0x269,0xB,,True
0x269,0x6,0x4A,
0x269,0xB,,True
0x269,0x6,0x1C 0x40 0x02 0x50 0xBF,
0x269,0xB,,True
0x269,0x6,0x65,
0x269,0xB,,True
0x269,0x6,0x0B,
0x269,0xB,,True
0x269,0x7,0xD7 0xCB 0xC9 0x7F,
0x269,0xB,,True
0x269,0x6,0xCE 0x52 0xA4 0x17 0xFF,
0x269,0xB,,True
0x269,0x6,0x9E 0xE1 0x01 0x32 0xBF,
0x269,0xB,,True
0x269,0x6,0x96 0xE1 0x84 0xA6 0x2F,
0x269,0xB,,True
0x269,0x6,0xC7 0x20 0x09 0x44,
0x269,0xB,,True
